year,subject,school_code,school_name,group_code,school_type,city,major_name,direction,plan_count,tuition,joint_program,partner_school,remarks
2026,物理,C170,武汉职业技术大学,C17009,公办,武汉,工业机器人技术,计算机|电力|财经|建筑|机械|旅游,23,5000,否,,(办学地点：光谷校区)
2026,物理,C170,武汉职业技术大学,C17009,公办,武汉,智能光电制造技术,计算机|电力|财经|建筑|机械|旅游,23,5000,否,,(办学地点：光谷校区)
2026,物理,C170,武汉职业技术大学,C17009,公办,武汉,电气自动化技术,计算机|电力|财经|建筑|机械|旅游,22,5000,否,,(办学地点：光谷校区)
2026,物理,C170,武汉职业技术大学,C17009,公办,武汉,无人机应用技术,计算机|电力|财经|建筑|机械|旅游,32,5000,否,,(办学地点：光谷校区)
2026,物理,C170,武汉职业技术大学,C17009,公办,武汉,建筑工程技术,计算机|电力|财经|建筑|机械|旅游,8,5000,否,,(办学地点：光谷校区)
2026,物理,C170,武汉职业技术大学,C17009,公办,武汉,工程造价,计算机|电力|财经|建筑|机械|旅游,8,5000,否,,(办学地点：光谷校区)
2026,物理,C170,武汉职业技术大学,C17009,公办,武汉,建筑消防技术,计算机|电力|财经|建筑|机械|旅游,7,5000,否,,(办学地点：光谷校区)
2026,物理,C170,武汉职业技术大学,C17009,公办,武汉,现代物业管理,计算机|电力|财经|建筑|机械|旅游,5,5000,否,,(办学地点：光谷校区)
2026,物理,C170,武汉职业技术大学,C17009,公办,武汉,智慧城市管理技术,计算机|电力|财经|建筑|机械|旅游,6,5000,否,,(办学地点：光谷校区)
2026,物理,C170,武汉职业技术大学,C17009,公办,武汉,大数据与会计,计算机|电力|财经|建筑|机械|旅游,7,5000,否,,(办学地点：光谷东校区)
2026,物理,C170,武汉职业技术大学,C17009,公办,武汉,金融服务与管理,计算机|电力|财经|建筑|机械|旅游,5,5000,否,,(办学地点：光谷东校区)
2026,物理,C170,武汉职业技术大学,C17009,公办,武汉,跨境电子商务,计算机|电力|财经|建筑|机械|旅游,5,5000,否,,(办学地点：光谷东校区)
2026,物理,C170,武汉职业技术大学,C17009,公办,武汉,商务数据分析与应用,计算机|电力|财经|建筑|机械|旅游,10,5000,否,,(办学地点：光谷东校区)
2026,物理,C170,武汉职业技术大学,C17009,公办,武汉,商务英语,计算机|电力|财经|建筑|机械|旅游,16,5000,否,,(办学地点：光谷校区)
2026,物理,C170,武汉职业技术大学,C17009,公办,武汉,应用英语,计算机|电力|财经|建筑|机械|旅游,17,5000,否,,(办学地点：光谷校区)
2026,物理,C170,武汉职业技术大学,C17009,公办,武汉,旅游管理,计算机|电力|财经|建筑|机械|旅游,10,5000,否,,(办学地点：光谷校区)
2026,物理,C170,武汉职业技术大学,C17009,公办,武汉,研学旅行管理与服务,计算机|电力|财经|建筑|机械|旅游,10,5000,否,,(办学地点：光谷校区)
2026,物理,C170,武汉职业技术大学,C17009,公办,武汉,服装设计与工艺,计算机|电力|财经|建筑|机械|旅游,11,5000,否,,(办学地点：光谷校区)
2026,物理,C170,武汉职业技术大学,C17009,公办,武汉,网络新闻与传播,计算机|电力|财经|建筑|机械|旅游,12,5000,否,,(办学地点：光谷校区)
2026,物理,C170,武汉职业技术大学,C17009,公办,武汉,全媒体广告策划与营销,计算机|电力|财经|建筑|机械|旅游,13,5000,否,,(办学地点：光谷校区)
2026,物理,C170,武汉职业技术大学,C17009,公办,武汉,医学生物技术,计算机|电力|财经|建筑|机械|旅游,12,5000,否,,(办学地点：光谷校区)
2026,物理,C170,武汉职业技术大学,C17009,公办,武汉,食品生物技术,计算机|电力|财经|建筑|机械|旅游,14,5000,否,,(办学地点：光谷校区)
2026,物理,C170,武汉职业技术大学,C17009,公办,武汉,药品经营与管理,计算机|电力|财经|建筑|机械|旅游,12,5000,否,,(办学地点：光谷校区)
2026,物理,C170,武汉职业技术大学,C17010,公办,武汉,酒店管理与数字化运营,旅游,10,5000,否,,(办学地点：光谷校区)
2026,物理,C170,武汉职业技术大学,C17010,公办,武汉,空中乘务,旅游,140,6500,否,,"(建议报考考生男性身高在174cm～185cm之间，女性身高在162cm～175cm之间；且五官端正、身材匀称、无明显的""0""型或""X""型腿；无骨关节疾病或畸形；身体裸露部位无明显疤痕；全身无纹身，无烟疤；双眼裸眼或矫正视力C字表0.5及以上；无色盲色弱、无斜视；办学地点：光谷校区)"
2026,物理,C170,武汉职业技术大学,C17011,公办,武汉,现代通信技术,计算机,60,16800,否,,(中外合作办学)(办学地点：光谷校区)
